time	thrust_filtered
-0.004903	-200.3190672
-0.001032	-199.9334765
0.002839	-198.9993351
0.007	-197.3607556
0.010871	-194.8733028
0.014742	-191.4139309
0.018613	-186.8908955
0.022484	-181.25302
0.026355	-174.4976548
0.030226	-166.676665
0.034097	-157.8998339
0.037968	-148.3351716
0.041839	-138.205776
0.046	-127.7831007
0.049871	-117.3767497
0.053742	-107.3211896
0.057613	-97.96001116
0.061484	-89.62851195
0.065355	-82.63539469
0.069226	-77.2443127
0.073097	-73.65591047
0.076968	-71.99099155
0.080839	-72.27554119
0.084	-74.42848075
0.087871	-78.25311773
0.091742	-83.43320162
0.095613	-89.53432552
0.099484	-96.01120156
0.103355	-102.221145
0.107226	-107.4439255
0.111097	-110.9079324
0.114968	-111.8222968
0.118839	-109.4142171
0.123	-102.9703063
0.126871	-91.88038675
0.130742	-75.68178709
0.134613	-54.10181965
0.138484	-27.09573373
0.142355	5.122888889
0.146226	42.0625128
0.150097	82.94799282
0.153968	126.7317738
0.157839	172.1241759
0.162	217.6438668
0.165871	261.6879267
0.169742	302.6186228
0.173613	338.8612143
0.177484	369.0041585
0.181355	391.8907334
0.185226	406.6906251
0.189097	412.9427002
0.192968	410.5657033
0.196839	399.8395551
0.2	381.3636486
0.203871	355.9996474
0.207742	324.8062229
0.211613	288.9728127
0.215484	249.7584824
0.219355	208.4402295
0.223226	166.2733698
0.227097	124.465502
0.230968	84.16453485
0.234839	46.46002309
0.239	12.39569875
0.242871	-17.01028817
0.246742	-40.74211458
0.250613	-57.76524746
0.254484	-67.01247611
0.258355	-67.3810696
0.262226	-57.74437167
0.266097	-36.98018194
0.269968	-4.016710871
0.273839	42.10504362
0.278	102.1555756
0.281871	176.6327307
0.285742	265.6757452
0.289613	368.9853167
0.293484	485.7583873
0.297355	614.6468416
0.301226	753.7489866
0.305097	900.6405936
0.308968	1052.44816
0.312839	1205.961603
0.316	1357.778233
0.319871	1504.466308
0.323742	1642.735617
0.327613	1769.603443
0.331484	1882.545024
0.335355	1979.618055
0.339226	2059.552137
0.343097	2121.796942
0.346968	2166.526345
0.350839	2194.599288
0.355	2207.48155
0.358871	2207.135525
0.362742	2195.887004
0.366613	2176.27888
0.370484	2150.922013
0.374355	2122.352951
0.378226	2092.906834
0.382097	2064.612255
0.385968	2039.113514
0.389839	2017.623723
0.394	2000.909429
0.397871	1989.304682
0.401742	1982.750553
0.405613	1980.854867
0.409484	1982.966236
0.413355	1988.256317
0.417226	1995.804373
0.421097	2004.678273
0.424968	2014.006329
0.428839	2023.035492
0.433	2031.173032
0.436871	2038.010312
0.440742	2043.328481
0.444613	2047.087284
0.448484	2049.399599
0.452355	2050.49533
0.456226	2050.678969
0.460097	2050.285483
0.463968	2049.638916
0.467839	2049.01729
0.471	2048.626466
0.474871	2048.584896
0.478742	2048.920109
0.482613	2049.576406
0.486484	2050.431987
0.490355	2051.322878
0.494226	2052.070502
0.498097	2052.509384
0.501968	2052.511692
0.505839	2052.005926
0.51	2050.987881
0.513871	2049.522933
0.517742	2047.739691
0.521613	2045.816006
0.525484	2043.958988
0.529355	2042.381284
0.533226	2041.276344
0.537097	2040.79559
0.540968	2041.03002
0.544839	2041.998309
0.549	2043.642866
0.552871	2045.834518
0.556742	2048.385447
0.560613	2051.069005
0.564484	2053.644277
0.568355	2055.882683
0.572226	2057.593508
0.576097	2058.645422
0.579968	2058.981601
0.583839	2058.626757
0.587	2057.685179
0.590871	2056.329952
0.594742	2054.784522
0.598613	2053.298593
0.602484	2052.120821
0.606355	2051.471256
0.610226	2051.516595
0.614097	2052.351009
0.617968	2053.984658
0.621839	2056.341193
0.626	2059.264589
0.629871	2062.53457
0.633742	2065.889015
0.637613	2069.051077
0.641484	2071.758217
0.645355	2073.790007
0.649226	2074.99167
0.653097	2075.290796
0.656968	2074.705468
0.660839	2073.342825
0.665	2071.38824
0.668871	2069.086349
0.672742	2066.715998
0.676613	2064.561732
0.680484	2062.884737
0.684355	2061.896221
0.688226	2061.735857
0.692097	2062.457417
0.695968	2064.02312
0.699839	2066.307399
0.704	2069.109861
0.707871	2072.176203
0.711742	2075.225037
0.715613	2077.977913
0.719484	2080.189279
0.723355	2081.673053
0.727226	2082.322787
0.731097	2082.123184
0.734968	2081.151701
0.738839	2079.570179
0.742	2077.607535
0.745871	2075.535431
0.749742	2073.639521
0.753613	2072.189269
0.757484	2071.409537
0.761355	2071.456873
0.765226	2072.40292
0.769097	2074.226627
0.772968	2076.816076
0.776839	2079.979766
0.781	2083.466207
0.784871	2086.989808
0.788742	2090.260326
0.792613	2093.012713
0.796484	2095.034223
0.800355	2096.185972
0.804226	2096.41673
0.808097	2095.767488
0.811968	2094.366362
0.815839	2092.414498
0.82	2090.1646
0.823871	2087.894433
0.827742	2085.878078
0.831613	2084.357896
0.835484	2083.519992
0.839355	2083.475575
0.843226	2084.250204
0.847097	2085.782144
0.850968	2087.930114
0.854839	2090.489624
0.858	2093.216095
0.861871	2095.852181
0.865742	2098.156279
0.869613	2099.929064
0.873484	2101.03517
0.877355	2101.417684
0.881226	2101.103977
0.885097	2100.202428
0.888968	2098.890598
0.892839	2097.396231
0.897	2095.97301
0.900871	2094.873438
0.904742	2094.321471
0.908613	2094.48769
0.912484	2095.469614
0.916355	2097.279406
0.920226	2099.840437
0.924097	2102.993276
0.927968	2106.51056
0.931839	2110.119283
0.936	2113.528174
0.939871	2116.457319
0.943742	2118.666911
0.947613	2119.982097
0.951484	2120.311233
0.955355	2119.655569
0.959226	2118.109266
0.963097	2115.849811
0.966968	2113.119887
0.970839	2110.202683
0.974	2107.393271
0.977871	2104.969051
0.981742	2103.162322
0.985613	2102.137762
0.989484	2101.977132
0.993355	2102.672753
0.997226	2104.130376
1.001097	2106.181084
1.004968	2108.60086
1.008839	2111.135617
1.013	2113.52889
1.016871	2115.549186
1.020742	2117.014142
1.024613	2117.809007
1.028484	2117.897643
1.032355	2117.324967
1.036226	2116.210723
1.040097	2114.735253
1.043968	2113.118795
1.047839	2111.596432
1.052	2110.391359
1.055871	2109.68934
1.059742	2109.61719
1.063613	2110.227718
1.067484	2111.492886
1.071355	2113.305987
1.075226	2115.492615
1.079097	2117.829196
1.082968	2120.066974
1.086839	2121.958714
1.091	2123.285243
1.094871	2123.879086
1.098742	2123.642866
1.102613	2122.560673
1.106484	2120.701204
1.110355	2118.212256
1.114226	2115.30694
1.118097	2112.242925
1.121968	2109.296881
1.125839	2106.736839
1.129	2104.795385
1.132871	2103.646433
1.136742	2103.387972
1.140613	2104.032548
1.144484	2105.506432
1.148355	2107.657567
1.152226	2110.271478
1.156097	2113.093513
1.159968	2115.855096
1.163839	2118.301253
1.168	2120.216548
1.171871	2121.446714
1.175742	2121.913699
1.179613	2121.622546
1.183484	2120.659496
1.187355	2119.181635
1.191226	2117.399253
1.195097	2115.552798
1.198968	2113.886796
1.202839	2112.623506
1.207	2111.939104
1.210871	2111.944985
1.214742	2112.676151
1.218613	2114.087794
1.222484	2116.060267
1.226355	2118.411779
1.230226	2120.917432
1.234097	2123.332546
1.237968	2125.41786
1.241839	2126.964041
1.245	2127.81309
1.248871	2127.874508
1.252742	2127.134575
1.256613	2125.657818
1.260484	2123.580512
1.264355	2121.09693
1.268226	2118.439797
1.272097	2115.857018
1.275968	2113.587156
1.279839	2111.836163
1.284	2110.757778
1.287871	2110.439521
1.291742	2110.895655
1.295613	2112.067706
1.299484	2113.832322
1.303355	2116.015572
1.307226	2118.412094
1.311097	2120.807022
1.314968	2122.998337
1.318839	2124.81724
1.323	2126.144426
1.326871	2126.920584
1.330742	2127.150113
1.334613	2126.897778
1.338484	2126.278822
1.342355	2125.443773
1.346226	2124.559771
1.350097	2123.790583
1.353968	2123.277537
1.357839	2123.123459
1.362	2123.381282
1.365871	2124.048546
1.369742	2125.06832
1.373613	2126.336404
1.377484	2127.713937
1.381355	2129.043942
1.385226	2130.169944
1.389097	2130.9546
1.392968	2131.296249
1.396839	2131.141518
1.4	2130.49248
1.403871	2129.407504
1.407742	2127.995651
1.411613	2126.405215
1.415484	2124.807647
1.419355	2123.378606
1.423226	2122.278256
1.427097	2121.632958
1.430968	2121.520448
1.434839	2121.960166
1.439	2122.909886
1.442871	2124.269084
1.446742	2125.888678
1.450613	2127.586163
1.454484	2129.164581
1.458355	2130.433448
1.462226	2131.229468
1.466097	2131.434783
1.469968	2130.990718
1.473839	2129.90543
1.478	2128.254606
1.481871	2126.175076
1.485742	2123.851995
1.489613	2121.500847
1.493484	2119.346067
1.497355	2117.598431
1.501226	2116.433586
1.505097	2115.974008
1.508968	2116.276322
1.512839	2117.325341
1.516	2119.035424
1.519871	2121.259041
1.523742	2123.801607
1.527613	2126.441026
1.531484	2128.9499
1.535355	2131.118115
1.539226	2132.773504
1.543097	2133.798445
1.546968	2134.140677
1.550839	2133.817214
1.555	2132.910989
1.558871	2131.560713
1.562742	2129.945168
1.566613	2128.263708
1.570484	2126.71501
1.574355	2125.476258
1.578226	2124.684895
1.582097	2124.4248
1.585968	2124.718304
1.589839	2125.524807
1.594	2126.74607
1.597871	2128.237525
1.601742	2129.824317
1.605613	2131.320379
1.609484	2132.548588
1.613355	2133.359931
1.617226	2133.649679
1.621097	2133.368829
1.624968	2132.529621
1.628839	2131.204583
1.633	2129.519261
1.636871	2127.639449
1.640742	2125.754224
1.644613	2124.056517
1.648484	2122.723237
1.652355	2121.89704
1.656226	2121.671703
1.660097	2122.082621
1.663968	2123.103378
1.667839	2124.648746
1.671	2126.583801
1.674871	2128.738198
1.678742	2130.924049
1.682613	2132.955453
1.686484	2134.667551
1.690355	2135.933098
1.694226	2136.674871
1.698097	2136.872721
1.701968	2136.564526
1.705839	2135.840887
1.71	2134.834031
1.713871	2133.702102
1.717742	2132.6106
1.721613	2131.713097
1.725484	2131.133498
1.729355	2130.951913
1.733226	2131.195748
1.737097	2131.836944
1.740968	2132.795575
1.744839	2133.949294
1.749	2135.147521
1.752871	2136.228809
1.756742	2137.039558
1.760613	2137.45201
1.764484	2137.379496
1.768355	2136.787125
1.772226	2135.696717
1.776097	2134.185439
1.779968	2132.378365
1.783839	2130.435842
1.787	2128.537094
1.790871	2126.86182
1.794742	2125.571673
1.798613	2124.7935
1.802484	2124.606066
1.806355	2125.031597
1.810226	2126.033067
1.814097	2127.517539
1.817968	2129.345307
1.821839	2131.343878
1.826	2133.325377
1.829871	2135.105571
1.833742	2136.522624
1.837613	2137.453606
1.841484	2137.827016
1.845355	2137.629934
1.849226	2136.909021
1.853097	2135.765244
1.856968	2134.342859
1.860839	2132.813838
1.865	2131.359314
1.868871	2130.149985
1.872742	2129.327527
1.876613	2128.989025
1.880484	2129.176103
1.884355	2129.870004
1.888226	2130.993249
1.892097	2132.41785
1.895968	2133.979273
1.899839	2135.494684
1.903	2136.783476
1.906871	2137.687797
1.910742	2138.090757
1.914613	2137.930269
1.918484	2137.207035
1.922355	2135.98579
1.926226	2134.389614
1.930097	2132.587793
1.933968	2130.778428
1.937839	2129.167621
1.942	2127.947461
1.945871	2127.275235
1.949742	2127.256106
1.953613	2127.931082
1.957484	2129.271487
1.961355	2131.180526
1.965226	2133.501846
1.969097	2136.034265
1.972968	2138.551149
1.976839	2140.822483
1.981	2142.637402
1.984871	2143.824988
1.988742	2144.271301
1.992613	2143.930932
1.996484	2142.831863
2.000355	2141.072978
2.004226	2138.814414
2.008097	2136.261743
2.011968	2133.645671
2.015839	2131.199433
2.02	2129.136255
2.023871	2127.629195
2.027742	2126.79534
2.031613	2126.685836
2.035484	2127.282651
2.039355	2128.502278
2.043226	2130.205867
2.047097	2132.214586
2.050968	2134.328429
2.054839	2136.346398
2.058	2138.085981
2.061871	2139.400068
2.065742	2140.189835
2.069613	2140.412487
2.073484	2140.083227
2.077355	2139.271285
2.081226	2138.090449
2.085097	2136.685169
2.088968	2135.213812
2.092839	2133.83096
2.097	2132.670667
2.100871	2131.832386
2.104742	2131.371005
2.108613	2131.292042
2.112484	2131.552518
2.116355	2132.067401
2.120226	2132.720851
2.124097	2133.380898
2.127968	2133.915829
2.131839	2134.210418
2.136	2134.1802
2.139871	2133.78222
2.143742	2133.021011
2.147613	2131.949089
2.151484	2130.661864
2.155355	2129.287572
2.159226	2127.973344
2.163097	2126.868949
2.166968	2126.109944
2.170839	2125.802048
2.174	2126.008438
2.177871	2126.741405
2.181742	2127.959331
2.185613	2129.569422
2.189484	2131.435971
2.193355	2133.393378
2.197226	2135.262581
2.201097	2136.869135
