time,thrust_filtered
0,-0.0892252585258688
0,-0.0911514430636001
0,-0.0910607606981919
0,-0.0884624713243134
0,-0.082986408976257
0,-0.0744155346581392
0,-0.0627046858099056
0,-0.0479848176884021
0,-0.0305546624230836
0.039,-0.0108634556803185
0.039,0.0105117219908414
0.039,0.0328923631300248
0.039,0.0555291201196438
0.039,0.0776370700767618
0.039,0.0984341896016229
0.039,0.11717925774469
0.039,0.133204446864773
0.039,0.145939045809161
0.039,0.154923912140504
0.078,0.159819560766909
0.078,0.160411751761533
0.078,0.156616621419993
0.078,0.148484962294742
0.078,0.136204244797992
0.078,0.120097339353865
0.078,0.100617395921962
0.078,0.0783384280009555
0.078,0.0539411549804965
0.078,0.0281936692252503
0.117,0.00192647552009911
0.117,-0.0239981337336243
0.117,-0.04872138217961
0.117,-0.0714262463732106
0.117,-0.0913769913607437
0.117,-0.107958356423388
0.117,-0.120711434358234
0.117,-0.12936162888334
0.117,-0.1338342301795
0.117,-0.134255612011244
0.156,-0.130941159088831
0.156,-0.124372914792912
0.156,-0.115169993607158
0.156,-0.104053825354869
0.156,-0.0918096384763891
0.156,-0.0792458094540001
0.156,-0.0671531271168424
0.156,-0.0562656890683616
0.156,-0.0472239881743014
0.156,-0.0405396000009431
0.194,-0.0365605524550207
0.194,-0.0354371487125774
0.194,-0.037089596318591
0.194,-0.0411810403413917
0.194,-0.0471020418774558
0.194,-0.0539743537997316
0.194,-0.0606819439656964
0.194,-0.0659348584593395
0.194,-0.0683670490730595
0.194,-0.0666641929644055
0.233,-0.0597133458478374
0.233,-0.0467633033931224
0.233,-0.0275822523739112
0.233,-0.00259792002705865
0.233,0.026994100348231
0.233,0.059166134675475
0.233,0.0910485190647563
0.233,0.118982860919063
0.233,0.138646321602273
0.233,0.145253202296757
0.272,0.133836815304497
0.272,0.0996083273353773
0.272,0.0383801749873969
0.272,-0.0529678758904491
0.272,-0.176009421736921
0.272,-0.330312881592266
0.272,-0.513039936659077
0.272,-0.718637436830714
0.272,-0.938657916842528
0.272,-1.16174055663941
0.31,-1.37377829532853
0.31,-1.55828786677131
0.31,-1.69698924169299
0.31,-1.7705907976738
0.31,-1.75976629954717
0.31,-1.64629810252735
0.31,-1.41434727136888
0.31,-1.05179625611588
0.31,-0.551594230507124
0.31,0.0869803186393151
0.349,0.857239154043063
0.349,1.74429471729245
0.349,2.72467192528652
0.349,3.76642512429377
0.349,4.82984839067349
0.349,5.86884177440709
0.349,6.83295990310144
0.349,7.67012368246959
0.349,8.3299223777589
0.349,8.7673732642438
0.388,8.94694041375361
0.388,8.8465485162541
0.388,8.46128401050529
0.388,7.80650020796329
0.388,6.92016951780846
0.388,5.86451193864905
0.388,4.72707021536202
0.388,3.62143809772072
0.388,2.68778991910949
0.388,2.09320493339698
0.426,2.03153389336108
0.426,2.72235632306696
