HEAVY,,,,,,,
Time (s),Damping Moment Coefficient,Damping Ratio Denominator,Damping Ratio,,,,
0.275,11.475,10.478,1.095151747,,,AVG DR:,0.573544564
0.298,12.772,12.442,1.026523067,,,MIN DR:,0.530911001
0.331,14.414,14.916,0.966344865,,,MEDIAN DR:,0.549465761
0.381,16.07,18.752,0.856975256,,,,
0.431,18.288,22.72,0.804929577,,,,
0.481,20.623,26.181,0.787708644,,,,
0.531,22.767,29.59,0.769415343,,,,
0.581,24.526,33.306,0.736383835,,,,
0.631,26.153,37.574,0.696039815,,,,
0.681,27.706,42.09,0.658256118,,,,
0.731,29.427,46.732,0.629696996,,,,
0.781,31.313,51.265,0.610806593,,,,
0.831,33.155,55.676,0.595498958,,,,
0.881,35.626,60.17,0.592089081,,,,
0.931,38.144,63.893,0.596998106,,,,
0.981,40.74,67.625,0.602439926,,,,
1.031,43.288,71.266,0.607414475,,,,
1.081,45.791,74.966,0.610823573,,,,
1.131,48.096,78.705,0.611092053,,,,
1.181,50.447,82.722,0.60983777,,,,
1.231,52.593,86.627,0.607120182,,,,
1.28,54.614,90.58,0.602936631,,,,
1.327,56.622,94.582,0.598655135,,,,
1.377,58.515,98.902,0.591646276,,,,
1.427,60.254,103.368,0.58290767,,,,
1.477,62.941,108.042,0.582560486,,,,
1.527,65.645,111.602,0.588206305,,,,
1.577,68.19,115.152,0.592173822,,,,
1.627,69.862,118.892,0.587608922,,,,
1.665,71.333,121.923,0.585065984,,,,
1.701,73.166,125.057,0.585061212,,,,
1.742,74.705,128.409,0.581773863,,,,
1.783,76.237,132.098,0.577124559,,,,
1.833,79.009,136.801,0.577546948,,,,
1.883,81.423,139.978,0.581684265,,,,
1.933,83.229,143.486,0.580049622,,,,
1.971,84.637,146.021,0.579622109,,,,
2,85.44,147.926,0.57758609,,,,
2.025,86.24,149.883,0.575382131,,,,
2.052,87.349,152.157,0.574071518,,,,
2.087,88.348,154.816,0.570664531,,,,
2.129,90.491,158.352,0.571454734,,,,
2.179,92.993,161.433,0.576047029,,,,
2.229,94.116,164.06,0.57366817,,,,
2.255,94.872,165.477,0.573324389,,,,
2.276,95.506,166.857,0.572382339,,,,
2.298,96.083,168.31,0.570869229,,,,
2.321,96.692,169.928,0.569017466,,,,
2.347,97.481,171.895,0.567096192,,,,
2.384,99.269,174.647,0.568397968,,,,
2.434,101.456,177.395,0.571921418,,,,
2.484,102.267,179.553,0.569564418,,,,
2.507,102.864,180.645,0.569426223,,,,
2.527,103.317,181.845,0.568159696,,,,
2.549,103.728,183.207,0.56617924,,,,
2.574,104.19,184.888,0.563530354,,,,
2.611,106.018,187.394,0.56574917,,,,
2.661,107.449,189.498,0.567019177,,,,
2.7,108.189,191.103,0.56612926,,,,
2.726,108.711,192.304,0.565308054,,,,
2.751,109.069,193.599,0.563375844,,,,
2.779,109.583,195.207,0.561368189,,,,
2.822,111.312,197.531,0.563516613,,,,
2.872,112.138,199.04,0.563394293,,,,
2.901,112.604,200.073,0.562814573,,,,
2.926,112.938,201.19,0.561349968,,,,
2.954,113.315,202.56,0.559414494,,,,
2.995,114.63,204.557,0.560381703,,,,
3.045,115.879,206.083,0.562292863,,,,
3.089,116.414,207.228,0.561767715,,,,
3.113,116.682,208.03,0.560890256,,,,
3.137,116.903,208.975,0.559411413,,,,
3.166,117.165,210.171,0.557474628,,,,
3.209,118.447,211.953,0.558836157,,,,
3.259,119.15,212.973,0.559460589,,,,
3.298,119.748,214.045,0.559452452,,,,
3.338,120.085,215.076,0.558337518,,,,
3.375,120.269,216.146,0.556424824,,,,
3.424,121.332,217.731,0.557256431,,,,
3.474,121.997,218.49,0.558364227,,,,
3.516,122.258,219.295,0.557504731,,,,
3.549,122.268,220.098,0.555516179,,,,
3.591,122.945,221.303,0.555550535,,,,
3.641,123.551,222.015,0.556498435,,,,
3.691,123.668,222.594,0.55557652,,,,
3.73,123.563,223.12,0.553796163,,,,
3.78,123.467,223.746,0.551817686,,,,
3.83,123.645,223.981,0.552033431,,,,
3.88,123.361,223.693,0.551474566,,,,
3.93,122.799,223.272,0.549997313,,,,
3.98,122.2,222.712,0.548690686,,,,
4.03,121.85,221.997,0.548881291,,,,
4.08,121.113,220.866,0.548355111,,,,
4.13,120.265,219.801,0.547154017,,,,
4.18,119.626,218.651,0.54710932,,,,
4.23,118.963,217.31,0.547434541,,,,
4.28,117.954,215.926,0.546270482,,,,
4.33,117.256,214.745,0.546024354,,,,
4.38,116.389,213.257,0.54576872,,,,
4.43,115.85,211.955,0.546578283,,,,
4.48,115.268,210.353,0.54797412,,,,
4.53,114.203,208.773,0.547019969,,,,
4.578,113.508,207.658,0.546610292,,,,
4.628,112.856,206.089,0.547608072,,,,
4.678,112.547,204.472,0.550427442,,,,
4.697,111.92,203.886,0.548934208,,,,
4.726,111.004,203.178,0.546338678,,,,
4.77,110.125,202.083,0.544949352,,,,
4.82,109.312,200.653,0.544781289,,,,
4.87,108.527,199.181,0.544866227,,,,
4.92,107.804,197.717,0.54524396,,,,
4.97,106.916,196.258,0.544772697,,,,
5.02,106.065,194.944,0.544079325,,,,
5.07,105.39,193.607,0.544350153,,,,
5.12,104.631,192.133,0.544575893,,,,
5.17,103.788,190.755,0.544090587,,,,
5.22,102.904,189.447,0.543180942,,,,
