,MOTOR: K535W DMS,,,,,,
,,,,,,,
Time (s),Damping Moment Coefficient,Damping Ratio Denominator,Damping Ratio,,,,
0.184,7.39,12.724,0.580792204,,,AVG DR:,0.433592979
0.201,8.122,14.115,0.575416224,,,MIN DR:,0.401591868
0.227,9.38,16.277,0.576273269,,,MEDIAN DR:,0.414806845
0.265,11.145,19.468,0.572477912,,,,
0.315,12.709,23.58,0.538973707,,,,
0.365,14.524,27.796,0.522521226,,,,
0.415,16.032,31.88,0.502885822,,,,
0.465,17.342,36.123,0.480081942,,,,
0.515,18.817,40.476,0.464892776,,,,
0.565,20.197,44.748,0.451349781,,,,
0.615,22.192,49.065,0.452297972,,,,
0.665,24.325,53.044,0.458581555,,,,
0.715,26.317,56.959,0.462034095,,,,
0.759,27.353,60.303,0.45359269,,,,
0.785,28.196,62.386,0.451960376,,,,
0.808,28.907,64.268,0.449788386,,,,
0.83,29.586,66.092,0.447648732,,,,
0.852,30.271,67.948,0.445502443,,,,
0.874,30.955,69.882,0.442960991,,,,
0.899,31.705,71.956,0.440616488,,,,
0.926,32.513,74.301,0.437584958,,,,
0.959,34.052,77.208,0.441042379,,,,
1.009,36.135,81.404,0.443897106,,,,
1.059,37.432,85.321,0.438719659,,,,
1.094,38.497,88.139,0.436776002,,,,
1.124,39.416,90.544,0.435324262,,,,
1.152,40.345,92.763,0.434925563,,,,
1.179,41.182,94.945,0.433745853,,,,
1.205,42.025,97.079,0.432894859,,,,
1.233,42.891,99.356,0.431690084,,,,
1.266,44.335,102.036,0.434503509,,,,
1.315,46.457,105.962,0.438430758,,,,
1.365,47.387,109.684,0.432032019,,,,
1.39,48.178,111.596,0.431717983,,,,
1.413,48.874,113.349,0.431181572,,,,
1.435,49.456,115.008,0.430022259,,,,
1.457,49.972,116.678,0.428289823,,,,
1.482,50.893,118.668,0.428868777,,,,
1.52,52.822,121.559,0.434537961,,,,
1.57,54.056,125.066,0.432219788,,,,
1.602,54.803,127.304,0.430489223,,,,
1.623,55.374,128.77,0.430022521,,,,
1.642,55.796,130.057,0.429011895,,,,
1.66,56.186,131.345,0.427774182,,,,
1.681,56.755,132.874,0.427133977,,,,
1.712,58.557,135.11,0.433402413,,,,
1.76,59.419,138.066,0.430366636,,,,
1.783,59.936,139.487,0.429688788,,,,
1.8,60.296,140.524,0.42907973,,,,
1.816,60.612,141.488,0.428389687,,,,
1.832,60.913,142.513,0.427420656,,,,
1.851,61.276,143.714,0.426374605,,,,
1.879,62.666,145.442,0.430865912,,,,
1.921,63.473,147.721,0.42968163,,,,
1.946,63.968,149.077,0.42909369,,,,
1.965,64.341,150.047,0.428805641,,,,
1.981,64.644,150.923,0.428324377,,,,
1.998,64.845,151.805,0.427159843,,,,
2.017,65.061,152.806,0.425775166,,,,
2.045,66.406,154.298,0.430374989,,,,
2.087,67.01,156.236,0.42890243,,,,
2.109,67.371,157.282,0.428345265,,,,
2.128,67.66,158.152,0.427816278,,,,
2.147,67.963,159.055,0.427292446,,,,
2.171,68.351,160.142,0.426814952,,,,
2.206,69.558,161.745,0.430047297,,,,
2.256,70.17,163.801,0.428385663,,,,
2.283,70.528,164.92,0.42764977,,,,
2.306,70.729,165.851,0.426461101,,,,
2.334,71.429,166.984,0.427759546,,,,
2.375,72.337,168.554,0.429162168,,,,
2.425,73.006,170.364,0.428529502,,,,
2.467,73.419,171.837,0.427259554,,,,
2.504,74.208,173.051,0.428821561,,,,
2.554,74.486,174.301,0.427341209,,,,
2.576,74.499,174.677,0.426495761,,,,
2.599,74.29,174.991,0.424536119,,,,
2.63,74.387,175.098,0.424830666,,,,
2.678,74.275,174.731,0.425081983,,,,
2.712,73.949,174.254,0.424374763,,,,
2.744,73.486,173.763,0.422909365,,,,
2.792,72.981,172.88,0.422148311,,,,
2.842,72.46,171.727,0.421948791,,,,
2.892,71.855,170.464,0.421525953,,,,
2.942,71.793,169.185,0.42434613,,,,
2.952,71.633,168.921,0.424062136,,,,
2.967,71.364,168.536,0.423434756,,,,
2.989,70.961,167.968,0.422467375,,,,
3.022,70.248,167.118,0.420349693,,,,
3.072,69.705,165.872,0.420233674,,,,
3.122,69.201,164.612,0.42038855,,,,
3.172,68.663,163.363,0.420309372,,,,
3.222,68,162.139,0.419393237,,,,
3.272,67.562,160.952,0.419764899,,,,
3.322,67.07,159.738,0.419875045,,,,
3.372,66.445,158.546,0.419089728,,,,
3.415,66.136,157.566,0.419735222,,,,
3.465,65.7,156.376,0.420141198,,,,
3.504,65.097,155.482,0.418678689,,,,
3.554,64.635,154.358,0.418734371,,,,
3.604,64.146,153.229,0.418628328,,,,
3.654,63.53,152.109,0.417661019,,,,
3.704,63.231,151.028,0.41867071,,,,
3.754,62.849,149.909,0.419247677,,,,
3.797,62.272,148.976,0.418000215,,,,
3.839,61.954,148.109,0.418300036,,,,
3.889,61.553,147.017,0.418679472,,,,
3.931,60.973,146.139,0.417226066,,,,
3.981,60.456,145.118,0.416598906,,,,
4.031,60.044,144.09,0.416711777,,,,
4.081,59.497,143.055,0.415902974,,,,
4.131,59.098,142.05,0.416036607,,,,
4.181,58.709,141.035,0.416272556,,,,
4.231,58.208,140.031,0.415679385,,,,
4.281,57.81,139.053,0.415740761,,,,
4.331,57.353,138.065,0.415405787,,,,
4.381,56.967,137.1,0.415514223,,,,
4.431,56.597,136.128,0.415763105,,,,
4.481,56.126,135.158,0.415262138,,,,
4.531,55.703,134.214,0.415031219,,,,
4.581,55.413,133.276,0.415776284,,,,
4.631,55.048,132.325,0.416006046,,,,
4.681,54.462,131.397,0.414484349,,,,
4.728,54.259,130.565,0.415570788,,,,
4.778,53.946,129.617,0.416195406,,,,
4.817,53.443,128.898,0.414614657,,,,
4.862,53.095,128.129,0.414387063,,,,
4.912,52.853,127.233,0.415403237,,,,
4.962,52.6,126.327,0.416379713,,,,
5.001,52.013,125.624,0.414037127,,,,
5.038,51.83,125.032,0.414533879,,,,
